Batch Code,Division,start time,end time,Date,Remark
FS-BoguraPI-01,6,2:00 PM,5:00 PM,2017-09-10,
FS-BoguraPI-02,6,9:30 AM,12:30 PM,2017-09-10,
FS-BoguraPI-01,6,2:00 PM,5:00 PM,2017-09-12,
FS-BoguraPI-02,6,9:30 AM,12:30 PM,2017-09-12,
FS-BoguraPI-01,6,2:00 PM,5:00 PM,2017-09-14,
FS-BoguraPI-02,6,9:30 AM,12:30 PM,2017-09-14,
FS-OFF-D-03,6,9:00 AM,12:00 PM,2017-09-09,
FS-OFF-D-05,6,4:00 PM,7:00 PM,2017-09-09,
FS-OFF-D-07,6,7:00 PM,10:00 PM,2017-09-09,
FS-OFF-D-04,6,9:00 AM,12:00 PM,2017-09-10,
FS-OFF-D-06,6,4:00 PM,7:00 PM,2017-09-10,
FS-OFF-D-08,6,7:00 PM,10:00 PM,2017-09-10,
FS-OFF-D-03,6,9:00 AM,12:00 PM,2017-09-11,
FS-OFF-D-05,6,4:00 PM,7:00 PM,2017-09-11,
FS-OFF-D-07,6,7:00 PM,10:00 PM,2017-09-11,
FS-OFF-D-04,6,9:00 AM,12:00 PM,2017-09-12,
FS-OFF-D-06,6,4:00 PM,7:00 PM,2017-09-12,
FS-OFF-D-08,6,7:00 PM,10:00 PM,2017-09-12,
FS-OFF-D-03,6,9:00 AM,12:00 PM,2017-09-13,
FS-OFF-D-05,6,4:00 PM,7:00 PM,2017-09-13,
FS-OFF-D-07,6,7:00 PM,10:00 PM,2017-09-13,
FS-OFF-D-04,6,9:00 AM,12:00 PM,2017-09-14,
FS-OFF-D-06,6,4:00 PM,7:00 PM,2017-09-14,
FS-OFF-D-08,6,7:00 PM,10:00 PM,2017-09-14,
FS-AHGC-09,6,2:00 PM,5:00 PM,2017-09-09,
FS-AHGC-09,6,2:00 PM,5:00 PM,2017-09-11,
FS-AHGC-09,6,2:00 PM,5:00 PM,2017-09-13,
FS-MRWC-03,6,10:00 AM,1:00 PM,2017-09-09,
FS-MRWC-03,6,10:00 AM,1:00 PM,2017-09-11,
FS-MRWC-03,6,10:00 AM,1:00 PM,2017-09-13,
FS-NSDI-01,6,10:00 AM,1:00 PM,2017-09-10,
FS-NSDI-02,6,2:00 PM,5:00 PM,2017-09-10,
FS-NSDI-01,6,10:00 AM,1:00 PM,2017-09-12,
FS-NSDI-02,6,2:00 PM,5:00 PM,2017-09-12,
FS-NSDI-01,6,10:00 AM,1:00 PM,2017-09-14,
FS-NSDI-02,6,2:00 PM,5:00 PM,2017-09-14,
FS-PUST-01,6,9:00 AM,12:00 PM,2017-09-14,
FS-PUST-01,6,1:00 PM,4:00 PM,2017-09-14,
FS-PUST-01,6,9:30 AM,12:30 PM,15-09-2017,
FS-PUST-01,6,2:00 PM,5:00 PM,15-09-2017,
FS-RPI-01,6,6:00 PM,9:00 PM,2017-09-09,
FS-RPI-01,6,6:00 PM,9:00 PM,2017-09-11,
FS-RPI-01,6,6:00 PM,9:00 PM,2017-09-13,
FS-RU-17,6,2:30 PM,5:30 PM,2017-09-10,
FS-RU-21,6,3:00 PM,6:00 PM,2017-09-10,
FS-RU-27,6,3:00 PM,6:00 PM,2017-09-10,
TUP-RU-13,6,3:30 PM,6:00 PM,2017-09-10,
FS-RU-19,6,2:30 PM,5:30 PM,2017-09-11,
FS-RU-20,6,2:30 PM,5:30 PM,2017-09-11,
FS-RU-26,6,4:00 PM,7:00 PM,2017-09-11,
TUP-RU-09,6,3:00 PM,5:00 PM,2017-09-11,
TUP-RU-10,6,2:30 PM,5:30 PM,2017-09-11,
FS-RU-17,6,2:00 PM,5:00 PM,2017-09-12,
FS-RU-21,6,3:00 PM,6:00 PM,2017-09-12,
FS-RU-27,6,3:00 PM,6:00 PM,2017-09-12,
TUP-RU-11,6,5:00 PM,7:00 PM,2017-09-12,
TUP-RU-13,6,3:30 PM,6:00 PM,2017-09-12,
FS-RU-18,6,2:30 PM,5:30 PM,2017-09-13,
FS-RU-21,6,3:00 PM,6:00 PM,2017-09-13,
FS-RU-23,6,11:30 AM,2:30 PM,2017-09-13,
FS-RU-24,6,3:00 PM,6:00 PM,2017-09-13,
FS-RU-25,6,3:00 PM,6:00 PM,2017-09-13,
TUP-RU-10,6,2:30 PM,5:30 PM,2017-09-13,
FS-RU-19,6,2:30 PM,5:30 PM,2017-09-14,
FS-RU-20,6,2:30 PM,5:30 PM,2017-09-14,
FS-RU-22,6,3:00 PM,6:00 PM,2017-09-14,
FS-RU-23,6,8:30 PM,11:30 PM,2017-09-14,
FS-RU-26,6,4:00 PM,7:00 PM,2017-09-14,
FS-RU-27,6,10:00 AM,1:00 PM,2017-09-14,
TUP-RU-06,6,3:15 PM,6:15 PM,2017-09-14,
TUP-RU-13,6,2:30 PM,5:30 PM,2017-09-14,
FS-RU-28,6,9:30 AM,12:30 PM,15-09-2017,
FS-RU-28,6,2:30 PM,5:30 PM,15-09-2017,
TUP-RU-06,6,9:00 AM,12:00 PM,15-09-2017,
TUP-RU-06,6,2:00 PM,5:00 PM,15-09-2017,
TUP-RUET-03,6,4:30 PM,7:30 PM,2017-09-09,
TUP-RUET-05,6,4:30 PM,7:30 PM,2017-09-09,
TUP-RUET-08,6,4:30 PM,7:30 PM,2017-09-09,
TUP-RUET-02,6,2:30 PM,5:30 PM,2017-09-10,
TUP-RUET-04,6,5:30 PM,8:30 PM,2017-09-10,
TUP-RUET-06,6,5:30 PM,8:30 PM,2017-09-10,
TUP-RUET-07,6,5:30 PM,8:30 PM,2017-09-10,
TUP-RUET-03,6,4:30 PM,7:30 PM,2017-09-11,
TUP-RUET-05,6,4:30 PM,7:30 PM,2017-09-11,
TUP-RUET-08,6,4:30 PM,7:30 PM,2017-09-11,
TUP-RUET-02,6,2:30 PM,5:30 PM,2017-09-12,
TUP-RUET-04,6,5:30 PM,8:30 PM,2017-09-12,
TUP-RUET-06,6,5:30 PM,8:30 PM,2017-09-12,
TUP-RUET-07,6,5:30 PM,8:30 PM,2017-09-12,
TUP-RUET-03,6,4:30 PM,7:30 PM,2017-09-13,
TUP-RUET-05,6,4:30 PM,7:30 PM,2017-09-13,
TUP-RUET-08,6,4:30 PM,7:30 PM,2017-09-13,
TUP-RUET-02,6,2:30 PM,5:30 PM,2017-09-14,
TUP-RUET-04,6,10:00 AM,1:00 PM,2017-09-14,
TUP-RUET-04,6,5:30 PM,8:30 PM,2017-09-14,
TUP-RUET-06,6,10:00 AM,1:00 PM,2017-09-14,
TUP-RUET-06,6,5:30 PM,8:30 PM,2017-09-14,
TUP-RUET-07,6,10:00 AM,1:00 PM,2017-09-14,
TUP-RUET-07,6,5:30 PM,8:30 PM,2017-09-14,
FS-OFF-US-33,6,9:00 AM,12:00 PM,2017-09-09,
FS-OFF-US-36,6,12:30 PM,3:30 PM,2017-09-09,
FS-OFF-US-37,6,3:30 PM,6:30 PM,2017-09-09,
FS-OFF-US-34,6,12:30 PM,3:30 PM,2017-09-10,
FS-OFF-US-35,6,3:30 PM,6:30 PM,2017-09-10,
FS-OFF-US-33,6,9:00 AM,12:00 PM,2017-09-11,
FS-OFF-US-36,6,12:30 PM,3:30 PM,2017-09-11,
FS-OFF-US-37,6,3:30 PM,6:30 PM,2017-09-11,
FS-OFF-US-34,6,12:30 PM,3:30 PM,2017-09-12,
FS-OFF-US-35,6,3:30 PM,6:30 PM,2017-09-12,
FS-OFF-US-33,6,9:00 AM,12:00 PM,2017-09-13,
FS-OFF-US-36,6,12:30 PM,3:30 PM,2017-09-13,
FS-OFF-US-37,6,3:30 PM,6:30 PM,2017-09-13,
FS-OFF-US-34,6,12:30 PM,3:30 PM,2017-09-14,
FS-OFF-US-35,6,3:30 PM,6:30 PM,2017-09-14,
FS-VU-03,6,9:30 AM,12:30 PM,2017-09-12,
FS-VU-03,6,9:30 AM,12:30 PM,2017-09-13,
FS-VU-03,6,9:30 AM,12:30 PM,2017-09-14,
